Visit_ID,Visit_Date,University,Zip_Code,State,Student_Level,Housing,Financial_Aid,Meal_Plan,Food_Weight_lbs
V-1000,2022-08-08,Michigan State,48824,MI,Undergraduate,On-Campus,Pell Grant,Partial,9.63
V-1001,2021-09-05,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,Full,14.62
V-1002,2021-01-09,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,13.94
V-1003,2023-07-31,Arizona State,85281,AZ,Undergraduate,On-Campus,Pell Grant,None,18.91
V-1004,2020-08-10,Texas A&M,77843,TX,Graduate,Off-Campus,Pell Grant,Partial,16.16
V-1005,2021-10-27,Ohio State,43210,OH,Undergraduate,On-Campus,Pell Grant,Partial,11.36
V-1006,2022-05-06,UMass Amherst,01003,MA,Graduate,Off-Campus,None,None,9.43
V-1007,2022-04-18,Arizona State,85281,AZ,Graduate,On-Campus,Pell Grant,None,23.64
V-1008,2023-04-30,Ohio State,43210,OH,Undergraduate,Off-Campus,None,Full,12.95
V-1009,2022-07-29,UMass Amherst,01003,MA,Undergraduate,Off-Campus,None,None,11.09
V-1010,2022-11-15,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,Partial,11.78
V-1011,2023-01-19,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Full,16.83
V-1012,2023-04-10,UW Seattle,98195,WA,Graduate,Off-Campus,Scholarship,Partial,21.11
V-1013,2021-10-03,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,None,11.34
V-1014,2021-01-31,UC Irvine,92697,CA,Graduate,Off-Campus,Pell Grant,Full,16.47
V-1015,2021-04-30,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,16.85
V-1016,2023-07-09,Georgia Tech,30332,GA,Undergraduate,On-Campus,Scholarship,None,10.73
V-1017,2022-12-29,Rutgers,08901,NJ,Graduate,Off-Campus,Pell Grant,Partial,19.75
V-1018,2020-10-15,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,Full,11.71
V-1019,2023-06-18,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,Full,16.33
V-1020,2022-05-17,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,25.01
V-1021,2021-10-29,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,Partial,18.24
V-1022,2024-08-06,Michigan State,48824,MI,Undergraduate,On-Campus,Scholarship,Full,16.55
V-1023,2024-04-21,UMass Amherst,01003,MA,Undergraduate,Off-Campus,None,None,18.97
V-1024,2021-04-07,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Partial,8.98
V-1025,2022-03-20,Texas A&M,77843,TX,Undergraduate,Off-Campus,None,None,7.44
V-1026,2023-12-07,Ohio State,43210,OH,Graduate,Off-Campus,Scholarship,Partial,15.76
V-1027,2023-02-18,UMass Amherst,01003,MA,Undergraduate,On-Campus,Scholarship,None,10.99
V-1028,2021-08-06,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,15.61
V-1029,2023-08-20,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,None,18.46
V-1030,2023-10-02,UF Gainesville,32611,FL,Undergraduate,Off-Campus,None,None,14.17
V-1031,2021-06-12,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,None,10.66
V-1032,2024-01-20,Michigan State,48824,MI,Undergraduate,On-Campus,Scholarship,Full,9.21
V-1033,2021-01-26,Rutgers,08901,NJ,Undergraduate,On-Campus,Scholarship,None,17.26
V-1034,2022-05-16,UC Irvine,92697,CA,Undergraduate,Off-Campus,Scholarship,Partial,18.62
V-1035,2023-05-25,UF Gainesville,32611,FL,Undergraduate,Off-Campus,None,None,11.12
V-1036,2024-02-24,UF Gainesville,32611,FL,Undergraduate,Off-Campus,None,Partial,11.17
V-1037,2023-08-05,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,None,14.57
V-1038,2023-09-21,Michigan State,48824,MI,Undergraduate,On-Campus,None,None,20.96
V-1039,2022-12-27,UF Gainesville,32611,FL,Undergraduate,On-Campus,Pell Grant,None,15.74
V-1040,2023-01-28,UF Gainesville,32611,FL,Graduate,Off-Campus,Scholarship,None,18.87
V-1041,2021-05-25,Michigan State,48824,MI,Graduate,On-Campus,None,None,18.87
V-1042,2020-10-02,UF Gainesville,32611,FL,Undergraduate,On-Campus,Pell Grant,Partial,6.93
V-1043,2023-01-12,UC Irvine,92697,CA,Graduate,On-Campus,Scholarship,Partial,24.6
V-1044,2024-03-27,Georgia Tech,30332,GA,Undergraduate,On-Campus,Pell Grant,None,13.25
V-1045,2023-09-16,Georgia Tech,30332,GA,Undergraduate,On-Campus,Pell Grant,None,8.99
V-1046,2022-01-13,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,Full,12.78
V-1047,2021-09-15,UW Seattle,98195,WA,Undergraduate,On-Campus,None,Full,11.66
V-1048,2024-05-06,Rutgers,08901,NJ,Graduate,On-Campus,None,None,23.48
V-1049,2024-02-01,Rutgers,08901,NJ,Undergraduate,On-Campus,Pell Grant,None,19.9
V-1050,2023-11-07,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,Partial,20.57
V-1051,2024-03-09,Ohio State,43210,OH,Undergraduate,On-Campus,Pell Grant,None,16.05
V-1052,2022-05-26,Ohio State,43210,OH,Undergraduate,Off-Campus,None,Full,12.89
V-1053,2022-10-12,Rutgers,08901,NJ,Undergraduate,Off-Campus,Scholarship,Partial,12.75
V-1054,2023-11-24,Ohio State,43210,OH,Undergraduate,Off-Campus,None,Partial,4.5
V-1055,2022-01-02,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,14.99
V-1056,2021-06-21,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,None,14.99
V-1057,2022-06-02,Texas A&M,77843,TX,Undergraduate,On-Campus,None,None,13.27
V-1058,2023-01-24,UMass Amherst,01003,MA,Undergraduate,Off-Campus,None,Partial,10.68
